Law ID,State,State Postal Abbreviation,Type of Law,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Month,Effective Date Day,Effective Date Year,Statutory Citation,Content,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Confirmation Code
AL1001,Alabama,AL,Background Checks for private sales - handguns and long guns,,,,,,,,,No law requiring background checks for private sales of handguns or long guns,1,,,,,
AL1002,Alabama,AL,Background checks for sales from dealers - handguns and long guns,,,,,,,,,No law requiring background checks for sales from dealers of handguns or long guns,1,,,,,
AL1003,Alabama,AL,Carrying a concealed weapon (CCW) - shall issue,Permissive,Modify,1/1/1975,"Not sure about day + month, so using January 1.",1,1,1975,Ala. Code § 13A-11-75,"The sheriff of a county, upon the application of any person residing in that county, within 30 days from receipt of a complete application and accompanying fee, shall issue or renew a permit for such person to carry a pistol in a vehicle or concealed on or about his or her person within this state for one to five year increments, as requested by the person seeking the permit, from date of issue, unless the sheriff determines that the person is prohibited from the possession of a pistol or firearm pursuant to state or federal law, or has a reasonable suspicion that the person may use a weapon unlawfully or in such other manner that would endanger the person's self or others. [goes on to list what sheriff may consider]",1,,,"Disagreement between experts here. 1975 law can be read as ""may issue,"" but was enforced as ""shall issue."" Vernick and Hepburn (2003) characterize as ""may issue,"" but most consider it ""shall issue"" since the 1970s. 2006 law changed wording to ""may issue,"" but that didn't change the enforcement. See Ala. Code § 13-6-155 for 1975 version of the law.",,
AL1004,Alabama,AL,Castle Doctrine,Permissive,Implement,5/16/1978,,5,16,1978,"Acts 1977, No. 607, § 620(2)",A person may use deadly physical force under the circumstances set forth in subsection (1) of this section only: (a) In defense of a person a provided in § 610 of this chapter (Justification: Use of Force in Defense of a Person): or (b) When he reasonably believes it is necessary to prevent the commission of arson in the first or second degree by the trespasser,1,,,,,
AL1005,Alabama,AL,Castle Doctrine - Stand Your Ground,Permissive,Modify,6/1/2006,,6,1,2006,Ala. Code § 13A-3-23(b),"A person who is justified under subsection (a) in using physical force, including deadly physical force, and who is not engaged in an unlawful activity and is in any place where he or she has the right to be has no duty to retreat and has the right to stand his or her ground.",,,,,,
AL1006,Alabama,AL,Child access law,,,,,,,,,No CAP law,1,,,,,
AL1007,Alabama,AL,Dealer license - handguns,Restrictive,Implement,9/11/1951,,9,11,1951,"Ala. Code §§ 13A-11-78, 13A-11-79","Section 1. That Article 2, Chapter 40, of Title 14 of the 1940 Code of Alabama, be and the same is hereby amended to read as follows: [...] Section 180. Dealers to be licensed. -- No retail dealer shall sell or otherwise transfer, or expose for sale or transfer, or have in his possession with intent to sell, or otherwise transfer, any pistol without being licensed and hereinafter provided. Section 181. Dealer's licenses, by whom granted and conditions thereof.-The duly constituted licensing authorities of any city, town or political subdivision of this state may grant licenses in forms prescribed by the secretary of state, effective for not more than one year from date of issue, permitting the licensee to sell pistols at retail within this state subject to the following conditions in addition to those specified in section 179 of this title, for breach of any of which the license shall be forfeited and the licensee subject to punishment as provided in this article. The business shall be carried on only in the building designated in the license. The license or a copy thereof, certified by the issuing authority, shall be displayed on the premises where it can easily be read. No pistol shall be sold in violation of any provision of this article, nor shall a pistol be sold under any circumstances unless the purchaser is personally known to the seller or shall present clear evidence of his identity. A true record in triplicate shall be made of every pistol sold, in a book kept for the purpose, the form of which may be prescribed by the secretary of state and shall be personally signed by the purchaser and by the person effecting the sale, the caliber, make, model and manufacturer's number of the weapon, the name, address, occupation, color and place of birth of purchaser and a statement signed by the purchaser that he has never been convicted in this state or elsewhere of a crime of violence. One copy shall within six hours be sent by registered mail to the chief of police of the municipality or the sheriff of the county of which the dealer is a resident; the duplicate the dealer shall within seven days send to the secretary of state; the triplicate the dealer shall retain for six years. No pistol or imitation thereof or placard advertising the sale thereof
shall be displayed in any part of any premises where it can readily be seen from the outside. The fee for issuing said license shall be fifty cents which fee shall be paid into the state treasury.",1,,,"See 1940 Law, tit. 14, Ch. 40, Art. 2.",,
AL1008,Alabama,AL,Dealer license - long guns,,,,,,,,,No law requiring dealer license for long guns,1,,,,,
AL1009,Alabama,AL,Minimum age for youth possession - handguns and long guns,,,,,,,,,No law imposing minimum age for youth possession of handguns or long guns,1,,,,,H
AL1010,Alabama,AL,Minimum age for youth possession - long guns,,,,,,,,,No law imposing minimum purchase and sale age for long guns,1,,,,,H
AL1011,Alabama,AL,Minimum purchase and sale age - handguns,Restrictive,Implement,10/1/1936,,10,1,1936,Ala. Code §§ 13A-11-57; 13A-11-76,"§ 13A-11-57(a) Any person who sells, gives or lends to any minor any pistol , except under the circumstances provided in Section.
13A-11-72, bowie knife, or other knife of like kind or description, shall, on conviction, be fined not less than fifty dollars ($ 50) nor more than five hundred dollars ($ 500).",1,18,,"2015 statutory amendments added exceptions listed in Ala. Code § 13A-11-72(f) & (g) include hunting, target shooting, self defense against home intruders. Since 2015, unclear what definition of ""minor"" is in Alabama for purposes of gun laws.",Not included on the Giffords Law Center to Prevent Gun Violence (undated) website.,
