,year,month,state,n_incidents
0,2014,1,Alabama,70
1,2014,1,Alaska,6
2,2014,1,Arizona,26
3,2014,1,Arkansas,30
4,2014,1,California,192
5,2014,1,Colorado,31
6,2014,1,Connecticut,19
7,2014,1,Delaware,13
8,2014,1,Florida,189
9,2014,1,Georgia,65
10,2014,1,Hawaii,3
11,2014,1,Idaho,1
12,2014,1,Illinois,102
13,2014,1,Indiana,63
14,2014,1,Iowa,22
15,2014,1,Kansas,18
16,2014,1,Kentucky,38
17,2014,1,Louisiana,104
18,2014,1,Maine,6
19,2014,1,Maryland,82
20,2014,1,Massachusetts,28
21,2014,1,Michigan,55
22,2014,1,Minnesota,16
23,2014,1,Mississippi,53
24,2014,1,Missouri,52
25,2014,1,Montana,10
26,2014,1,Nebraska,5
27,2014,1,Nevada,19
28,2014,1,New Hampshire,7
29,2014,1,New Jersey,73
30,2014,1,New Mexico,11
31,2014,1,New York,94
32,2014,1,North Carolina,82
33,2014,1,North Dakota,2
34,2014,1,Ohio,109
35,2014,1,Oklahoma,28
36,2014,1,Oregon,16
37,2014,1,Pennsylvania,142
38,2014,1,Rhode Island,9
39,2014,1,South Carolina,65
40,2014,1,South Dakota,1
41,2014,1,Tennessee,85
42,2014,1,Texas,168
43,2014,1,Utah,6
44,2014,1,Vermont,1
45,2014,1,Virginia,48
46,2014,1,Washington,36
47,2014,1,West Virginia,14
48,2014,1,Wisconsin,35
49,2014,1,Wyoming,4
50,2014,2,Alabama,47
51,2014,2,Alaska,5
52,2014,2,Arizona,27
53,2014,2,Arkansas,23
54,2014,2,California,145
55,2014,2,Colorado,11
56,2014,2,Connecticut,8
57,2014,2,Delaware,6
58,2014,2,Florida,133
59,2014,2,Georgia,44
60,2014,2,Idaho,5
61,2014,2,Illinois,79
62,2014,2,Indiana,58
63,2014,2,Iowa,15
64,2014,2,Kansas,14
65,2014,2,Kentucky,24
66,2014,2,Louisiana,73
67,2014,2,Maine,3
68,2014,2,Maryland,32
69,2014,2,Massachusetts,12
70,2014,2,Michigan,42
71,2014,2,Minnesota,10
72,2014,2,Mississippi,41
73,2014,2,Missouri,34
74,2014,2,Montana,4
75,2014,2,Nebraska,7
76,2014,2,Nevada,10
77,2014,2,New Hampshire,2
78,2014,2,New Jersey,31
79,2014,2,New Mexico,14
80,2014,2,New York,40
81,2014,2,North Carolina,67
82,2014,2,North Dakota,1
83,2014,2,Ohio,81
84,2014,2,Oklahoma,12
85,2014,2,Oregon,12
86,2014,2,Pennsylvania,81
87,2014,2,Rhode Island,4
88,2014,2,South Carolina,37
89,2014,2,South Dakota,1
90,2014,2,Tennessee,78
91,2014,2,Texas,105
92,2014,2,Utah,2
93,2014,2,Vermont,1
94,2014,2,Virginia,39
95,2014,2,Washington,40
96,2014,2,West Virginia,7
97,2014,2,Wisconsin,24
98,2014,2,Wyoming,1
99,2014,3,Alabama,66
100,2014,3,Alaska,4
101,2014,3,Arizona,30
102,2014,3,Arkansas,23
103,2014,3,California,171
104,2014,3,Colorado,15
105,2014,3,Connecticut,14
106,2014,3,Delaware,9
107,2014,3,Florida,158
108,2014,3,Georgia,82
109,2014,3,Hawaii,4
110,2014,3,Idaho,3
111,2014,3,Illinois,116
112,2014,3,Indiana,62
113,2014,3,Iowa,17
114,2014,3,Kansas,6
115,2014,3,Kentucky,26
116,2014,3,Louisiana,84
117,2014,3,Maine,2
118,2014,3,Maryland,28
119,2014,3,Massachusetts,25
120,2014,3,Michigan,36
121,2014,3,Minnesota,19
122,2014,3,Mississippi,34
123,2014,3,Missouri,41
124,2014,3,Montana,10
125,2014,3,Nebraska,4
126,2014,3,Nevada,20
127,2014,3,New Hampshire,5
128,2014,3,New Jersey,35
129,2014,3,New Mexico,9
130,2014,3,New York,64
131,2014,3,North Carolina,102
132,2014,3,North Dakota,3
133,2014,3,Ohio,121
134,2014,3,Oklahoma,21
135,2014,3,Oregon,15
136,2014,3,Pennsylvania,88
137,2014,3,Rhode Island,4
138,2014,3,South Carolina,65
139,2014,3,South Dakota,2
140,2014,3,Tennessee,94
141,2014,3,Texas,114
142,2014,3,Utah,7
143,2014,3,Vermont,1
144,2014,3,Virginia,49
145,2014,3,Washington,31
146,2014,3,West Virginia,13
147,2014,3,Wisconsin,30
148,2014,4,Alabama,71
149,2014,4,Alaska,6
150,2014,4,Arizona,32
151,2014,4,Arkansas,20
152,2014,4,California,171
153,2014,4,Colorado,9
154,2014,4,Connecticut,18
155,2014,4,Delaware,17
156,2014,4,Florida,150
157,2014,4,Georgia,67
158,2014,4,Hawaii,1
159,2014,4,Idaho,3
160,2014,4,Illinois,204
161,2014,4,Indiana,60
162,2014,4,Iowa,17
163,2014,4,Kansas,10
164,2014,4,Kentucky,38
165,2014,4,Louisiana,82
166,2014,4,Maine,2
167,2014,4,Maryland,56
168,2014,4,Massachusetts,34
169,2014,4,Michigan,57
170,2014,4,Minnesota,19
171,2014,4,Mississippi,44
172,2014,4,Missouri,39
173,2014,4,Montana,2
174,2014,4,Nebraska,8
175,2014,4,Nevada,17
176,2014,4,New Jersey,60
177,2014,4,New Mexico,7
178,2014,4,New York,64
179,2014,4,North Carolina,92
180,2014,4,North Dakota,2
181,2014,4,Ohio,103
182,2014,4,Oklahoma,25
183,2014,4,Oregon,15
184,2014,4,Pennsylvania,136
185,2014,4,Rhode Island,4
186,2014,4,South Carolina,49
187,2014,4,South Dakota,2
188,2014,4,Tennessee,56
189,2014,4,Texas,122
190,2014,4,Utah,9
191,2014,4,Vermont,5
192,2014,4,Virginia,56
193,2014,4,Washington,23
194,2014,4,West Virginia,21
195,2014,4,Wisconsin,42
196,2014,5,Alabama,66
197,2014,5,Alaska,5
198,2014,5,Arizona,29
199,2014,5,Arkansas,28
200,2014,5,California,207
201,2014,5,Colorado,29
202,2014,5,Connecticut,34
203,2014,5,Delaware,21
204,2014,5,Florida,153
205,2014,5,Georgia,76
206,2014,5,Idaho,4
207,2014,5,Illinois,250
208,2014,5,Indiana,53
209,2014,5,Iowa,12
210,2014,5,Kansas,20
211,2014,5,Kentucky,52
212,2014,5,Louisiana,102
213,2014,5,Maine,1
214,2014,5,Maryland,72
215,2014,5,Massachusetts,24
216,2014,5,Michigan,82
217,2014,5,Minnesota,12
218,2014,5,Mississippi,35
219,2014,5,Missouri,52
220,2014,5,Montana,5
221,2014,5,Nebraska,11
222,2014,5,Nevada,28
223,2014,5,New Hampshire,9
224,2014,5,New Jersey,61
225,2014,5,New Mexico,13
226,2014,5,New York,91
227,2014,5,North Carolina,80
228,2014,5,North Dakota,1
229,2014,5,Ohio,140
230,2014,5,Oklahoma,14
231,2014,5,Oregon,14
232,2014,5,Pennsylvania,170
233,2014,5,Rhode Island,10
234,2014,5,South Carolina,70
235,2014,5,South Dakota,2
236,2014,5,Tennessee,74
237,2014,5,Texas,125
238,2014,5,Utah,7
239,2014,5,Vermont,3
240,2014,5,Virginia,52
241,2014,5,Washington,24
242,2014,5,West Virginia,14
243,2014,5,Wisconsin,67
244,2014,6,Alabama,59
245,2014,6,Alaska,6
246,2014,6,Arizona,24
247,2014,6,Arkansas,20
248,2014,6,California,182
249,2014,6,Colorado,21
250,2014,6,Connecticut,22
251,2014,6,Delaware,22
252,2014,6,Florida,134
253,2014,6,Georgia,79
254,2014,6,Hawaii,1
255,2014,6,Idaho,5
256,2014,6,Illinois,215
257,2014,6,Indiana,68
258,2014,6,Iowa,13
259,2014,6,Kansas,21
260,2014,6,Kentucky,34
261,2014,6,Louisiana,109
262,2014,6,Maine,2
263,2014,6,Maryland,69
264,2014,6,Massachusetts,30
265,2014,6,Michigan,63
266,2014,6,Minnesota,20
267,2014,6,Mississippi,32
268,2014,6,Missouri,66
269,2014,6,Montana,2
270,2014,6,Nebraska,17
271,2014,6,Nevada,18
272,2014,6,New Hampshire,4
273,2014,6,New Jersey,77
274,2014,6,New Mexico,6
275,2014,6,New York,126
276,2014,6,North Carolina,70
