Overall Rank (1=Best),City,Total Score,‘Emotional & Physical Well-Being’ Rank,‘Income & Employment’ Rank ,‘Community & Environment’ Rank
1,"Fremont, CA",79.89,3,6,1
2,"Bismarck, ND",78.37,4,1,7
3,"San Jose, CA",76.44,1,8,27
4,"Pearl City, HI",75.19,2,57,2
5,"Plano, TX",73.62,8,17,10
6,"Fargo, ND",73.46,12,2,13
7,"Sioux Falls, SD",71.96,7,48,20
8,"Irvine, CA",71.17,13,33,11
9,"Huntington Beach, CA",70.69,16,25,28
10,"Grand Prairie, TX",70.54,29,16,3
11,"Madison, WI",70.06,11,34,14
12,"Columbia, MD",69.53,31,58,5
13,"San Francisco, CA",69.28,5,4,126
14,"Scottsdale, AZ",68.61,54,27,6
15,"Overland Park, KS",68.12,23,54,34
16,"Santa Clarita, CA",67.95,28,51,24
17,"Glendale, CA",67.46,36,83,9
18,"Oakland, CA",67.18,6,45,143
19,"St. Paul, MN",67.16,17,62,67
20,"Gilbert, AZ",66.24,60,13,23
21,"Austin, TX",66.11,10,11,163
22,"Santa Rosa, CA",66.05,22,37,79
23,"Lincoln, NE",65.99,38,77,26
24,"Des Moines, IA",65.98,18,71,122
25,"Irving, TX",65.78,25,15,132
26,"Honolulu, HI",65.72,65,10,29
27,"Garden Grove, CA",65.68,40,90,31
28,"Cedar Rapids, IA",65.62,46,41,39
29,"Anaheim, CA",65.58,30,61,59
30,"Garland, TX",65.57,24,73,92
31,"Minneapolis, MN",65.42,9,40,134
32,"San Diego, CA",65.37,14,28,74
33,"Charleston, SC",64.9,82,9,12
34,"Seattle, WA",64.87,42,5,99
35,"Chula Vista, CA",64.55,21,84,53
36,"Rancho Cucamonga, CA",64.47,70,26,30
37,"Cape Coral, FL",64.26,52,79,19
38,"Port St. Lucie, FL",64.1,45,92,56
39,"Fort Worth, TX",64.09,33,68,109
40,"Chandler, AZ",63.96,66,29,45
41,"Raleigh, NC",63.9,20,65,104
42,"Peoria, AZ",63.89,73,49,21
43,"Oceanside, CA",63.82,19,139,50
44,"Portland, ME",63.71,49,46,105
45,"Aurora, IL",63.7,39,142,46
46,"El Paso, TX",63.69,37,43,130
47,"Brownsville, TX",63.59,56,67,43
