,year,month,state,Mental_Health_Records_Submitted_2008,Mental_Health_Records_Submitted_2017,Gun_Sale_Denials_2008,Gun_Sale_Denials_2017,Giffords Gun Safety Score,Gun Deaths per 100k People (2018),Gun Death Rate (Ranked High to Low),Rank,# of guns per capita,# of guns registered,Permit Type,Handgun_Carry_Permit_Fee,Years_Valid,5_Year_Cost,Happiness Score,n_incidents
117812,2014,1,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,70
117882,2014,2,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,47
117929,2014,3,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,66
117995,2014,4,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,71
118066,2014,5,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,66
118132,2014,6,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,59
118191,2014,7,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,76
118267,2014,8,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,69
118336,2014,9,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,44
118380,2014,10,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,54
118434,2014,11,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,62
118496,2014,12,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,72
